gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
9383788,45.5044,9.16079,-976.4,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9482572,45.5044,9.16079,-976.025,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9588284,45.5044,9.16079,-975.649,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9683632,45.5044,9.16079,-975.274,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9786596,45.5044,9.16079,-974.899,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9883512,45.5044,9.16078,-974.523,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9982584,45.5044,9.16078,-974.148,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10082564,45.5043,9.16078,-973.773,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10187040,45.5043,9.16078,-973.397,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10282600,45.5043,9.16078,-973.022,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10386296,45.5043,9.16077,-972.647,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10484300,45.5043,9.16077,-972.271,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10585672,45.5043,9.16077,-971.896,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10683476,45.5043,9.16077,-971.52,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10783844,45.5043,9.16077,-971.145,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10886300,45.5043,9.16076,-970.77,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
10987228,45.5043,9.16076,-970.394,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
11083596,45.5043,9.16076,-970.019,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
11185608,45.5043,9.16076,-969.644,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
11278444,45.5043,9.16076,-969.268,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
11388300,45.5043,9.16075,-968.893,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
11488304,45.504,9.16032,-852.064,-3.327,-3.219,-10.798,4.63,224.049,88.5,4,3
11589728,45.5039,9.16016,-813.643,-3.252,-3.026,-10.044,4.442,222.939,88.52,4,3
11687916,45.5039,9.1601,-799.183,-3.27,-3.262,-9.946,4.619,224.933,88.54,4,3
11793768,45.5039,9.16011,-803.09,-3.113,-3.006,-9.586,4.327,224.005,88.56,4,3
11893632,45.5039,9.16011,-806.356,-2.899,-3.219,-9.511,4.332,227.997,88.58,4,3
11992584,45.5038,9.1601,-803.674,-2.94,-3.233,-9.326,4.37,227.71,88.6,4,3
12089908,45.5037,9.15996,-768.527,-2.884,-2.933,-8.67,4.113,225.482,88.63,4,3
12190308,45.5037,9.1599,-752.102,-3.014,-2.595,-8.506,3.977,220.734,88.65,4,3
12290308,45.5036,9.15982,-730.02,-2.535,-2.709,-8.199,3.71,226.89,88.67,4,3
12389840,45.5036,9.15981,-727.643,-2.548,-2.814,-8.226,3.796,227.845,88.69,4,3
12488844,45.5036,9.1598,-726.642,-2.769,-2.697,-7.886,3.865,224.254,88.71,4,3
12589044,45.5036,9.15981,-730.423,-2.725,-2.291,-7.372,3.56,220.054,88.73,4,3
12689716,45.5036,9.1598,-728.939,-2.852,-2.763,-7.556,3.971,224.086,88.76,4,3
12791056,45.5036,9.1598,-730.96,-2.778,-2.866,-7.255,3.992,225.895,88.78,4,3
12889052,45.5036,9.15983,-739.437,-2.942,-2.671,-7.469,3.974,222.229,88.8,4,3
12990312,45.5036,9.1598,-731.416,-2.665,-2.634,-7.038,3.747,223.365,88.82,4,3
13090436,45.5036,9.15979,-729.037,-2.493,-2.204,-6.143,3.328,222.505,88.84,4,3
13189564,45.5036,9.15981,-735.762,-2.548,-2.248,-6.657,3.398,221.944,88.87,4,3
13291840,45.5036,9.15974,-716.82,-2.148,-2.547,-5.983,3.331,225.442,88.89,4,3
13388892,45.5035,9.15961,-683.111,-2.465,-2.583,-6.352,3.571,225.953,88.91,4,3
13488884,45.5034,9.15951,-655.712,-2.584,-2.481,-6.252,3.583,224.848,88.93,4,3
13589060,45.5033,9.15942,-632.467,-2.439,-2.059,-5.562,3.192,222.747,88.95,4,3
13688544,45.5033,9.15933,-607.495,-2.548,-2.313,-5.526,3.442,222.467,88.98,4,3
13789616,45.5032,9.15923,-580.556,-2.319,-2.263,-5.331,3.24,223.095,89,4,3
13888708,45.5031,9.15914,-555.979,-1.977,-2.27,-5.569,3.01,225.609,89.02,4,3
13995056,45.503,9.15901,-520.115,-1.753,-2.44,-5.875,3.004,229.932,89.04,4,3
14090316,45.5029,9.15887,-482.044,-2.038,-2.127,-5.92,2.946,227.722,89.06,4,3
14193644,45.5028,9.15871,-439.029,-2.032,-2.334,-5.662,3.094,228.293,89.08,4,3
14289612,45.5027,9.15852,-388.33,-1.548,-2.067,-5.927,2.582,230.039,89.11,4,3
14392372,45.5025,9.15834,-337.505,-1.318,-2.396,-6.414,2.735,235.364,89.13,4,3
14488756,45.5024,9.15816,-289.2,-1.526,-2.041,-6.916,2.548,234.126,89.15,4,3
14593632,45.5023,9.15802,-250.695,-1.295,-1.724,-6.741,2.157,233.726,89.17,4,3
14697212,45.5022,9.15788,-212.999,-1.7,-2.091,-6.883,2.694,231.854,89.19,4,3
14793572,45.5021,9.15772,-169.187,-1.79,-2.401,-7.078,2.995,232.604,89.21,4,3
14889064,45.502,9.15761,-138.929,-1.694,-2.263,-7.544,2.827,233.18,89.24,4,3
14991008,45.5019,9.1575,-107.756,-1.905,-2.691,-7.487,3.297,234.701,89.26,4,3
15088652,45.5018,9.15736,-70.572,-2.206,-2.766,-7.584,3.538,231.432,89.28,4,3
15190596,45.5017,9.1572,-28.479,-1.843,-2.357,-8.081,2.992,231.986,89.3,4,3
15288328,45.5016,9.15706,10.102,-1.575,-2.699,-8.2,3.125,239.732,89.32,4,3
15391064,45.5015,9.15691,52.772,-1.012,-1.959,-8.268,2.205,242.687,89.34,4,3
15487684,45.5013,9.15673,100.575,-2.093,-2.915,-9.13,3.588,234.329,89.37,4,3
15585996,45.5011,9.15643,184.509,-2.383,-2.68,-8.973,3.586,228.365,89.39,4,3
15687068,45.5009,9.15616,256.818,-2.852,-3.09,-8.599,4.204,227.293,89.41,4,3
15786788,45.5007,9.15593,318.871,-3.294,-3.318,-8.594,4.675,225.204,89.43,4,3
15886612,45.5007,9.15586,338.877,-3.089,-3.038,-8.691,4.333,224.525,89.45,4,3
15988504,45.5006,9.15581,353.015,-3.099,-3.327,-9.298,4.547,227.032,89.47,4,3
16086332,45.5007,9.15586,338.928,-3.159,-3.646,-9.184,4.824,229.097,89.5,4,3
16188324,45.5008,9.15599,301.989,-3.412,-3.066,-9.075,4.587,221.943,89.52,4,3
16286888,45.5009,9.15612,267.213,-3.448,-3.342,-9.067,4.802,224.105,89.54,4,3
16387332,45.501,9.15623,236.493,-3.7,-3.599,-9.165,5.162,224.209,89.57,4,3
16485072,45.5011,9.15635,200.92,-3.207,-3.391,-9.462,4.667,226.602,89.59,4,3
16588332,45.5011,9.15641,184.433,-3.012,-3.465,-9.52,4.591,229,89.61,4,3
16686328,45.5011,9.15643,179.181,-3.255,-3.033,-9.523,4.449,222.978,89.63,4,3
16788348,45.5011,9.1564,185.781,-3.536,-2.79,-9.336,4.504,218.276,89.66,4,3
16886024,45.5012,9.15654,149.801,-3.814,-3.088,-9.204,4.907,218.997,89.68,4,3
16988352,45.5013,9.15664,122.135,-3.428,-3.125,-9.413,4.638,222.351,89.7,4,3
17086800,45.5014,9.15686,60.662,-4.347,-3.467,-9.364,5.56,218.578,89.73,4,3
17186884,45.5017,9.15723,-40.368,-4.221,-3.589,-9.306,5.54,220.369,89.75,4,3
17286348,45.5019,9.15748,-111.408,-3.617,-2.947,-9.416,4.665,219.171,89.77,4,3
17388408,45.5021,9.15776,-187.384,-3.483,-3.195,-9.307,4.726,222.526,89.8,4,3
17488388,45.5024,9.15811,-283.018,-3.365,-3.333,-9.046,4.736,224.732,89.82,4,3
17589524,45.5027,9.1586,-417.119,-3.668,-2.793,-8.984,4.61,217.293,89.84,4,3
17685844,45.5029,9.15878,-467.523,-3.392,-2.869,-8.902,4.442,220.227,89.87,4,3
