WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle, velocityAngle,targetX,targetY
218157448,120,120,0.756389,1.01789,14.8344,13.9977
218257448,120,120,0.745689,0.877056,14.8294,13.6961
218357448,120,120,0.751815,0.881699,14.4097,13.473
218457448,120,120,0.743603,0.913203,14.4082,13.2515
218557456,120,120,0.743518,0.855891,14.4023,13.2438
218657452,120,120,0.755511,0.907771,13.9857,13.1738
218757452,120,120,0.752808,0.931797,13.9844,13.1014
218857464,120,120,0.752789,0.937951,13.9853,13.1017
218957452,120,120,0.768033,0.875225,13.5622,13.0991
219057460,120,120,0.762498,0.940287,13.5612,12.9539
219157452,120,120,0.759584,0.872691,13.557,12.8745
219257456,120,120,0.756668,0.825298,13.5472,12.7903
219357452,120,120,0.756663,0.857685,13.5551,12.7976
219457456,120,120,0.769519,0.960313,13.1408,12.73
219557456,120,120,0.769623,0.967856,13.1375,12.7294
219657456,120,120,0.766712,0.960851,13.1374,12.6553
219757460,120,120,0.757891,-2.50338,13.1478,12.4437
219857460,120,120,0.754842,-2.64163,13.1454,12.3656
219957456,120,120,0.748807,1.03208,13.1398,12.2117
220057460,120,120,0.761968,-2.9462,12.7234,12.1407
220157460,120,120,0.759035,-2.51837,12.724,12.0702
220257460,120,120,0.755932,1.09798,12.7168,11.9886
220357460,120,120,0.752831,-2.89352,12.7197,11.9171
220457464,120,120,0.749705,-2.80632,12.7203,11.8432
220557464,120,120,0.749684,-2.63004,12.7219,11.8442
220657464,120,120,0.752793,-2.48312,12.7264,11.9225
220757464,120,120,0.749708,-2.58481,12.723,11.8458
220857464,120,120,0.749678,-2.82454,12.7204,11.8426
220957464,120,120,0.749681,-2.69712,12.7209,11.8432
221057464,120,120,0.743446,-2.45764,12.7276,11.7022
221157464,120,120,0.733891,-2.43522,12.7316,11.4833
221257468,120,120,0.727356,-2.46034,12.7279,11.33
221357468,120,120,0.74076,-2.45621,12.3072,11.2547
221457468,120,120,0.734294,-2.46056,12.3035,11.1061
221557468,120,120,0.727606,-2.42835,12.3078,10.9615
221657472,120,120,0.72418,-2.45581,12.3057,10.8843
221757484,120,120,0.7075,-2.48023,12.7245,10.8818
221857468,120,120,0.700652,-2.43009,12.7315,10.7377
221957472,120,120,0.69716,-2.4723,12.7263,10.6576
222057472,120,120,0.693743,-2.43374,12.7304,10.5872
222157472,120,120,0.693697,-2.46795,12.7282,10.5844
222257480,120,120,0.693706,-2.45963,12.7299,10.586
222357472,120,120,0.684536,-2.47851,13.1478,10.7311
222457476,120,120,0.691177,-2.45454,13.152,10.8808
222557476,120,120,0.691226,-2.46764,13.1509,10.881
222657476,120,120,0.682363,-2.65228,13.5662,11.0236
222757476,120,120,0.685552,-2.78544,13.5686,11.0976
222857476,120,120,0.685555,2.21827,13.5663,11.0957
222957476,120,120,0.685584,-2.63398,13.5696,11.0991
223057476,120,120,0.682302,-2.86991,13.5677,11.0235
223157476,120,120,0.68555,-2.85822,13.5678,11.0968
223257480,120,120,0.685577,-2.82822,13.5682,11.0978
223357480,120,120,0.685559,2.4393,13.5663,11.0958
223457480,120,120,0.68554,1.21782,13.5641,11.0936
223557480,120,120,0.688767,0.928999,13.56,11.1635
223657484,120,120,0.685556,0.993307,13.562,11.0923
223757480,120,120,0.692031,1.04892,13.5628,11.2403
223857480,120,120,0.692062,0.935777,13.5599,11.2386
223957488,120,120,0.695275,0.922903,13.56,11.3123
224057484,120,120,0.710823,0.869256,13.1356,11.3092
224157484,120,120,0.714198,0.941934,13.1374,11.3882
224257492,120,120,0.717419,0.891488,13.1349,11.4604
224357484,120,120,0.7336,0.96321,12.7161,11.4625
224457484,120,120,0.736915,0.908392,12.7101,11.5338
224557488,120,120,0.753709,0.869722,12.2882,11.5331
224657508,120,120,0.757028,0.833039,12.2816,11.6038
224757484,120,120,0.774462,0.82806,11.8597,11.6031
224857488,120,120,0.777782,0.836652,11.8592,11.6799
224957488,120,120,0.795854,0.903088,11.4443,11.6861
225057488,120,120,0.795995,-2.6241,11.4472,11.6925
225157492,120,120,0.796007,0.857448,11.4407,11.6861
225257488,120,120,0.796008,0.860961,11.4417,11.6871
225357492,120,120,0.792843,0.807365,11.4325,11.604
225457492,120,120,0.80834,0.851288,11.0195,11.5371
225557492,120,120,0.802034,0.819962,11.0135,11.3862
225657492,120,120,0.798731,0.803157,11.0134,11.3111
225757492,120,120,0.798713,0.785014,11.0076,11.3047
225857492,120,120,0.792139,0.782586,11.0086,11.158
225957500,120,120,0.782061,0.765295,11.0153,10.942
226057492,120,120,0.775181,0.77161,11.0146,10.7918
226157500,120,120,0.764758,0.755045,11.0153,10.5698
226257496,120,120,0.777081,0.77746,10.5892,10.4145
226357496,120,120,0.773632,0.753971,10.5929,10.3465
226457496,120,120,0.762782,0.765215,10.5895,10.121
