timestamp,threadId,minimumStack
46337,1,14796
46270,3,15028
46292,4,16204
45380,5,16256
45464,6,15636
46063,7,16180
46312,8,16180
46339,10,1436
45343,16,15300
34823,0,14844
47324,1,14796
47269,3,15028
47292,4,16204
46358,5,16256
46434,6,15636
47206,7,16180
46312,8,16180
47339,10,1436
46343,16,15300
34823,0,14844
48331,1,14796
48268,3,15028
48292,4,16204
48324,5,16256
47419,6,15636
48241,7,16180
48312,8,16180
48339,10,1436
47343,16,15300
34823,0,14844
49325,1,14796
49268,3,15028
49292,4,16204
49300,5,16256
48404,6,15636
49288,7,16180
48312,8,16180
49339,10,1436
48343,16,15300
34823,0,14844
50297,1,14796
50267,3,15028
50292,4,16204
50278,5,16256
49380,6,15636
49992,7,16180
50312,8,16180
50339,10,1436
49343,16,15300
34823,0,14844
51331,1,14796
51271,3,15028
51292,4,16204
51256,5,16256
51334,6,15636
51109,7,16180
50312,8,16180
51339,10,1436
50343,16,15300
34823,0,14844
52289,1,14796
52270,3,15028
52292,4,16204
52232,5,16256
52310,6,15636
52178,7,16180
52312,8,16180
52339,10,1436
51343,16,15300
34823,0,14844
53323,1,14796
53270,3,15028
53292,4,16204
53208,5,16256
53310,6,15588
53323,7,16180
52312,8,16180
53339,10,1436
52343,16,15300
34823,0,14844
54330,1,14796
54270,3,15028
54292,4,16204
54186,5,16256
54265,6,15588
54000,7,16180
54312,8,16180
54339,10,1436
53343,16,15300
34823,0,14844
55337,1,14796
55269,3,15028
55292,4,16204
55164,5,16256
55243,6,15588
55143,7,16180
54312,8,16180
55339,10,1436
54343,16,15300
34823,0,14844
56329,1,14796
56270,3,15028
56292,4,16204
56140,5,16256
56222,6,15588
56177,7,16180
56312,8,16180
56339,10,1436
55343,16,15300
34823,0,14844
57315,1,14796
57272,3,15028
57292,4,16204
57118,5,16256
57202,6,15588
57222,7,16180
56312,8,16180
57339,10,1436
56343,16,15300
34823,0,14844
58335,1,14796
58269,3,15028
58292,4,16204
58094,5,16256
58173,6,15588
57923,7,16180
58312,8,16180
58339,10,1436
57343,16,15300
34823,0,14844
59279,1,14796
59270,3,15028
59292,4,16204
59070,5,16256
59150,6,15588
59043,7,16180
58312,8,16180
59339,10,1436
58343,16,15300
34823,0,14844
60285,1,14796
60272,3,15028
60292,4,16204
60048,5,16256
60130,6,15588
60097,7,16180
60312,8,16180
60339,10,1436
59343,16,15300
34823,0,14844
61291,1,14796
61271,3,15028
61292,4,16204
61026,5,16256
61109,6,15588
61215,7,16180
60312,8,16180
61339,10,1436
60343,16,15300
34823,0,14844
62325,1,14796
62271,3,15028
62292,4,16204
62002,5,16256
62085,6,15588
62285,7,16180
62312,8,16180
62339,10,1436
61343,16,15300
34823,0,14844
63311,1,14796
63269,3,15028
63292,4,16204
62979,5,16256
63061,6,15588
63075,7,16180
62312,8,16180
63339,10,1436
62343,16,15300
34823,0,14844
64319,1,14796
64273,3,15028
64292,4,16204
63956,5,16256
64039,6,15588
64111,7,16180
64312,8,16180
64339,10,1436
63343,16,15300
34823,0,14844
65325,1,14796
65284,3,15028
65292,4,16204
64932,5,16256
65020,6,15588
65207,7,16180
64312,8,16180
65339,10,1436
64343,16,15300
34823,0,14844
66297,1,14796
66284,3,15028
66292,4,16204
65908,5,16256
65998,6,15588
66283,7,16180
66312,8,16180
66339,10,1436
65343,16,15300
34823,0,14844
67303,1,14796
67286,3,15028
67292,4,16204
66886,5,16256
66966,6,15588
67330,7,16180
66312,8,16180
67339,10,1436
66343,16,15300
34823,0,14844
68337,1,14796
68286,3,15028
68292,4,16204
67864,5,16256
67939,6,15588
68045,7,16180
68312,8,16180
68339,10,1436
67343,16,15300
34823,0,14844
69329,1,14796
69286,3,15028
69292,4,16204
68840,5,16256
68916,6,15588
69149,7,16180
68312,8,16180
69339,10,1436
68343,16,15300
34823,0,14844
70335,1,14796
70288,3,15028
70292,4,16204
69818,5,16256
69890,6,15588
70204,7,16180
70312,8,16180
70339,10,1436
69343,16,15300
34823,0,14844
71321,1,14796
71287,3,15028
71292,4,16204
70794,5,16256
70865,6,15588
71321,7,16180
70312,8,16180
71339,10,1436
70343,16,15300
34823,0,14844
72329,1,14796
72289,3,15028
72292,4,16204
71770,5,16256
71838,6,15588
72044,7,16180
72312,8,16180
72339,10,1436
71343,16,15300
34823,0,14844
73301,1,14796
73288,3,15028
73292,4,16204
72748,5,16256
72818,6,15588
73183,7,16180
72312,8,16180
73339,10,1436
72343,16,15300
34823,0,14844
74307,1,14796
74286,3,15028
74292,4,16204
73726,5,16256
73791,6,15588
74217,7,16180
74312,8,16180
74339,10,1436
73343,16,15300
34823,0,14844
75328,1,14796
75285,3,15028
75292,4,16204
74702,5,16256
74780,6,15588
75261,7,16180
74312,8,16180
75339,10,1436
74343,16,15300
34823,0,14844
76335,1,14796
76285,3,15028
76292,4,16204
75679,5,16256
75754,6,15588
75966,7,16180
76312,8,16180
76339,10,1436
75343,16,15300
34823,0,14844
77323,1,14796
77289,3,15028
